timestamp,millis, 76f96f013c, d39896f013c,819096f013c, 61ac96f013c, c71996f013c, 145496f013c, 50c596f013c, b84c96f013c
2023-03-02T15:48:21Z,45277,25.44,24.5,25.88,25.06,24.69,24.75,24.5,25.13
2023-03-02T15:48:22Z,46426,25.38,24.44,25.88,25.06,24.63,24.75,24.44,25.13
2023-03-02T15:48:23Z,47575,25.38,24.38,25.88,25.06,24.63,24.69,24.44,25.13
2023-03-02T15:48:24Z,48723,25.38,24.31,25.88,25.06,24.63,24.69,24.38,25.06
2023-03-02T15:48:26Z,49875,25.38,24.25,25.88,25.06,24.56,24.63,24.38,25.06
2023-03-02T15:48:27Z,51025,25.38,24.19,25.88,25.06,24.5,24.69,24.31,25.13
2023-03-02T15:48:28Z,52174,25.38,24.13,25.88,25.06,24.5,24.5,24.31,25.13
2023-03-02T15:48:29Z,53323,25.38,24.19,25.88,25,24.5,24.56,24.31,25.13
2023-03-02T15:48:30Z,54472,25.38,24.13,25.88,25,24.44,24.5,24.25,25.06
2023-03-02T15:48:31Z,55621,25.31,24.06,25.88,25,24.38,24.44,24.25,25.06
2023-03-02T15:48:32Z,56770,25.38,24,25.88,24.94,24.38,24.44,24.19,25.06
2023-03-02T15:48:34Z,57919,25.31,23.94,25.88,24.94,24.38,24.44,24.19,25.06
2023-03-02T15:48:35Z,59068,25.38,23.94,25.88,24.94,24.38,24.44,24.13,25.13
2023-03-02T15:48:36Z,60217,25.38,23.94,25.88,24.88,24.31,24.38,24.13,25.13
2023-03-02T15:48:37Z,61366,25.38,23.94,25.88,24.88,24.31,24.38,24.06,25.06
2023-03-02T15:48:38Z,62518,25.38,23.88,25.81,24.88,24.25,24.31,24.06,25.06
2023-03-02T15:48:39Z,63667,25.38,23.81,25.81,24.88,24.25,24.31,24,25.06
2023-03-02T15:48:41Z,64816,25.38,23.75,25.81,24.88,24.25,24.25,24,25.06
2023-03-02T15:48:42Z,65965,25.38,23.75,25.81,24.81,24.19,24.25,24,25.06
2023-03-02T15:48:43Z,67113,25.38,23.75,25.81,24.81,24.19,24.13,24,25.06
2023-03-02T15:48:44Z,68262,25.38,23.69,25.81,24.81,24.13,24.19,23.94,25.06
2023-03-02T15:48:45Z,69416,25.38,23.69,25.81,24.75,24.13,24.13,23.94,25.06
2023-03-02T15:48:46Z,70565,25.38,23.63,25.81,24.75,24.13,24.06,23.88,25.06
2023-03-02T15:48:47Z,71714,25.38,23.69,25.81,24.75,24.06,24.06,23.81,25.06
2023-03-02T15:48:49Z,72863,25.38,23.69,25.81,24.69,24.06,24.13,23.81,25.06
2023-03-02T15:48:50Z,74013,25.38,23.69,25.81,24.69,24,24.13,23.75,25.06
2023-03-02T15:48:51Z,75165,25.38,23.63,25.81,24.69,24,24.06,23.75,25.06
2023-03-02T15:48:52Z,76314,25.38,23.63,25.81,24.63,24,24.13,23.75,25.06
2023-03-02T15:48:53Z,77463,25.38,23.69,25.81,24.63,24,24.13,23.75,25.06
2023-03-02T15:48:54Z,78613,25.38,23.69,25.81,24.63,24,24.06,23.75,25
2023-03-02T15:48:55Z,79762,25.38,23.69,25.81,24.56,24,24.06,23.75,25.06
2023-03-02T15:48:57Z,80911,25.38,23.63,25.81,24.56,24.06,24.06,23.75,25.06
2023-03-02T15:48:58Z,82060,25.38,23.63,25.81,24.56,24,24.13,23.75,25.06
2023-03-02T15:48:59Z,83209,25.38,23.69,25.81,24.56,24,24.13,23.75,25.06
2023-03-02T15:49:00Z,84358,25.38,23.63,25.81,24.56,24,24.06,23.75,25
2023-03-02T15:49:01Z,85507,25.38,23.69,25.81,24.56,24,24.13,23.75,25.06
2023-03-02T15:49:02Z,86659,25.38,23.63,25.81,24.5,24,24.06,23.75,25.06
2023-03-02T15:49:03Z,87808,25.38,23.63,25.81,24.5,24,24.06,23.69,25.06
2023-03-02T15:49:05Z,88955,25.44,23.69,25.81,24.5,24,24.06,23.75,25.06
2023-03-02T15:49:06Z,90104,25.38,23.63,25.88,24.5,24,24.13,23.75,25.06
2023-03-02T15:49:07Z,91252,25.38,23.63,25.81,24.44,24,24.06,23.75,25.06
2023-03-02T15:49:08Z,92401,25.38,23.63,25.81,24.5,24,24.13,23.75,25.06
2023-03-02T15:49:09Z,93549,25.38,23.63,25.81,24.44,24,24.06,23.69,25.06
2023-03-02T15:49:10Z,94698,25.38,23.63,25.81,24.44,24,24.13,23.69,25
2023-03-02T15:49:12Z,95846,25.38,23.63,25.81,24.44,24,24.06,23.75,25.06
2023-03-02T15:49:13Z,96995,25.38,23.56,25.81,24.44,24,24.13,23.69,25.06
2023-03-02T15:49:14Z,98143,25.44,23.56,25.75,24.44,24,24.13,23.69,25.06
2023-03-02T15:49:15Z,99304,25.38,23.63,25.81,24.44,24,24.13,23.69,25.06
2023-03-02T15:49:16Z,100454,25.38,23.56,25.81,24.44,23.94,24.13,23.69,25.06
2023-03-02T15:49:17Z,101610,25.31,23.63,25.81,24.44,24,24.19,23.75,25.06
2023-03-02T15:49:18Z,102760,25.31,23.63,25.81,24.38,23.94,24.19,23.69,25.06
2023-03-02T15:49:20Z,103911,25.25,23.63,25.81,24.38,23.94,24.13,23.69,25.06
2023-03-02T15:49:21Z,105061,25.19,23.56,25.81,24.38,23.94,24.13,23.69,25.06
2023-03-02T15:49:22Z,106212,25.19,23.56,25.81,24.38,24,24.13,23.69,25.06
2023-03-02T15:49:23Z,107362,25.13,23.56,25.81,24.38,24,24.13,23.69,25.06
2023-03-02T15:49:24Z,108513,25.13,23.56,25.81,24.31,23.94,24.13,23.69,25.06
2023-03-02T15:49:25Z,109663,25,23.5,25.81,24.38,23.94,24.13,23.75,25.06
2023-03-02T15:49:26Z,110814,24.94,23.5,25.81,24.38,23.94,24.06,23.69,25.13
2023-03-02T15:49:28Z,111968,24.94,23.5,25.81,24.31,23.94,24.06,23.69,25.06
2023-03-02T15:49:29Z,113119,24.88,23.5,25.75,24.31,23.94,24.06,23.63,25.06
2023-03-02T15:49:30Z,114270,24.88,23.5,25.75,24.31,23.94,24.06,23.63,25.06
2023-03-02T15:49:31Z,115421,24.81,23.44,25.75,24.31,23.94,24.13,23.63,25.06
2023-03-02T15:49:32Z,116572,24.75,23.44,25.69,24.31,23.94,24.06,23.63,25.06
2023-03-02T15:49:33Z,117722,24.69,23.44,25.69,24.31,23.88,24.06,23.63,25
2023-03-02T15:49:35Z,118873,24.69,23.44,25.63,24.31,23.88,24,23.63,25
2023-03-02T15:49:36Z,120024,24.63,23.44,25.56,24.25,23.88,24.06,23.63,25
2023-03-02T15:49:37Z,121175,24.63,23.44,25.5,24.25,23.88,24,23.63,24.94
2023-03-02T15:49:38Z,122326,24.56,23.44,25.5,24.25,23.88,24.06,23.56,24.88
2023-03-02T15:49:39Z,123480,24.56,23.44,25.38,24.25,23.88,24,23.63,24.88
2023-03-02T15:49:40Z,124631,24.5,23.38,25.38,24.25,23.81,24,23.56,24.88
2023-03-02T15:49:41Z,125782,24.5,23.38,25.31,24.25,23.81,24,23.56,24.88
